scenario,interval,channel_type,channel_id,metric,n_runs,mean,std,sem,ci95_low,ci95_high,min,max
nominal,nominal,G,S1_S2,selected_score,100,0.8197169163588625,0.005896949771925042,0.0005896949771925042,0.8185611142035651,0.8208727185141598,0.8073074939563298,0.8353379991323393
nominal,nominal,G,S1_S2,u,100,0.0892460211716776,0.0007989523114757354,7.989523114757354e-05,0.08908942651862835,0.08940261582472685,0.08775914414320912,0.09132944880264007
nominal,nominal,omega_A,overall,b,100,0.922029093422065,2.2316322462394835e-16,2.2316322462394835e-17,0.922029093422065,0.922029093422065,0.9220290934220647,0.9220290934220647
nominal,nominal,omega_A,overall,b_norm,100,1.0,0.0,0.0,1.0,1.0,1.0,1.0
nominal,nominal,omega_A,overall,d,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,nominal,omega_A,overall,d_norm,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,nominal,omega_A,overall,p_ok,100,0.9610145467110324,3.3474483693592255e-16,3.347448369359225e-17,0.9610145467110323,0.9610145467110325,0.9610145467110327,0.9610145467110327
nominal,nominal,omega_A,overall,selected_score,100,1.0,0.0,0.0,1.0,1.0,1.0,1.0
nominal,nominal,omega_A,overall,u,100,0.07797090657793528,2.7895403077993544e-17,2.7895403077993544e-18,0.07797090657793528,0.07797090657793528,0.0779709065779353,0.0779709065779353
nominal,nominal,omega_B,overall,b,100,0.7642001244935972,0.0037973347843807564,0.00037973347843807566,0.7634558468758585,0.7649444021113359,0.7561474119039907,0.7724808525871378
nominal,nominal,omega_B,overall,b_norm,100,0.8387368987895577,0.004102870656406629,0.00041028706564066295,0.837932736140902,0.8395410614382134,0.8295885277680988,0.8479339050029988
nominal,nominal,omega_B,overall,d,100,0.14691505269001678,0.0037301414122621005,0.00037301414122621005,0.1461839449732134,0.14764616040682016,0.13852256199299204,0.15531924846892384
nominal,nominal,omega_B,overall,d_norm,100,0.16126310121044216,0.004102870656406633,0.00041028706564066327,0.16045893856178645,0.16206726385909787,0.15206609499700108,0.1704114722319013
nominal,nominal,omega_B,overall,p_ok,100,0.8086425359017901,0.0037553758615275104,0.000375537586152751,0.8079064822329307,0.8093785895706496,0.8004140817175335,0.8169791452970728
nominal,nominal,omega_B,overall,selected_score,100,0.8387368987895577,0.004102870656406629,0.00041028706564066295,0.837932736140902,0.8395410614382134,0.8295885277680988,0.8479339050029988
nominal,nominal,omega_B,overall,u,100,0.08888482281638613,0.000505985567884652,5.05985567884652e-05,0.08878564964508073,0.08898399598769152,0.08794468644320248,0.09073201751605671
nominal,nominal,omega_C,overall,b,100,0.7006575505539742,0.004951157679180739,0.0004951157679180739,0.6996871236488548,0.7016279774590936,0.6890173162961978,0.7122996379593315
nominal,nominal,omega_C,overall,b_norm,100,0.7856733919178385,0.00526980986504332,0.000526980986504332,0.78464050918429,0.786706274651387,0.7724517155796,0.7980797356907586
